image,label,module_a_pred,module_a_ok,module_a_latency,module_a_detail,module_b_pred,module_b_ok,module_b_candidate_ok,module_b_latency,module_b_detail,module_c_pred,module_c_ok,module_c_latency,module_c_detail,combined_pred,combined_ok,combined_latency,combined_detail
mark_70dcaecf.jpg,大清乾隆年製,,False,0.2603,best=401;second=349;accepted=False,大清乾隆年製,True,False,67.4077,清乾隆大年製,大清乾隆年製,True,0.0,exact:大清乾隆年製,大清乾隆年製,True,67.668,ocr_fuzzy
mark_837bf356.jpg,富貴長春,,False,0.223,best=263;second=252;accepted=False,富贵长春,False,False,69.6839,富贵春長;富春;富贵长春;貴长春,富貴長春,True,0.0,exact:富贵长春,富貴長春,True,69.9069,ocr_fuzzy
mark_8f5c6bce.jpg,內府侍南,,False,0.085,best=139;second=138;accepted=False,內府侍南,True,True,70.2134,内府侍南;府内侍南,內府侍南,True,0.0,exact:內府侍南,內府侍南,True,70.2984,ocr_fuzzy
mark_afeed85d.jpg,大清康熙年製,,False,0.0904,best=145;second=141;accepted=False,大清康眼年教,False,True,71.2533,大清康眼年教;大清;大济尿年数;大清眼年教;大清珞年,大清,True,0.0056,substring:大清康眼年教,大清,True,71.3493,ocr_fuzzy
mark_b3e63e84.jpg,大清康熙年製,,False,0.2743,best=303;second=293;accepted=False,大清康熙年製,True,True,70.1975,大清康熙年製,大清康熙年製,True,0.0,exact:大清康熙年製,大清康熙年製,True,70.4719,ocr_fuzzy
mark_d148f0a4.jpg,永樂年製,,False,0.3651,best=319;second=307;accepted=False,永樂年製,True,True,74.3851,永樂年製;永樂年;年製,大明永樂年製,True,0.0,exact:永樂年製,大明永樂年製,True,74.7502,ocr_fuzzy
mark_fca85bfa.jpg,內府侍南,,False,0.0927,best=123;second=122;accepted=False,內府侍南,True,True,64.2051,内府南;内南;内侍角;内府侍南;府诗南,內府侍南,True,0.002,exact:內府侍南,內府侍南,True,64.2998,ocr_fuzzy
nei_fu_shi_zhong_3d7545ae.jpg,內府侍中,,False,0.0296,best=65;second=59;accepted=False,內府侍中,True,True,65.3361,内府中;内;内府,內府侍中,True,0.0,exact:內府侍中,內府侍中,True,65.3656,ocr_fuzzy
ä¹¾éš†å¹´è£½_40b1c803.jpg,乾隆年製,,False,0.1085,best=168;second=166;accepted=False,轮蓬年,False,True,67.4356,隆年;轮蓬年;轮年;年;靶,庚午年製,False,0.2244,top1:轮蓬年,庚午年製,False,67.7684,ocr_fuzzy
å¤§æ¸…ä¹¾éš†å¹´è£½_4bea11a4.jpg,大清乾隆年製,大清乾隆年製,True,0.2753,best=401;second=308;accepted=True,大清乾隆年製,True,True,68.0313,大清乾隆年製,大清乾隆年製,True,0.0,exact:大清乾隆年製,大清乾隆年製,True,68.3066,orb
å¤§æ¸…é“å…‰å¹´è£½_ce020c78.jpg,大清道光年製,,False,0.291,best=247;second=237;accepted=False,清光年裹,False,False,73.4834,清裹光年;清光年裹;清光主;注清年裹,大清道光年製,True,0.0334,fuzzy_tiedecision:清光年裹,大清道光年製,True,73.8078,ocr_fuzzy
å¤§æ˜Žå¼˜æ²»å¹´è£½_2d687f6b.jpg,大明弘治年製,,False,0.0636,best=139;second=130;accepted=False,,False,False,73.9036,汤;汤;为,大明洪武年製,False,0.0909,top1:汤,大明洪武年製,False,74.0582,ocr_fuzzy
å¤§æ˜Žå¼˜æ²»å¹´è£½_9cf2d1ba.jpg,大明弘治年製,,False,0.2887,best=257;second=249;accepted=False,大明弘,True,True,68.3401,大明弘;明弘;明,大明弘治年製,True,0.002,substring:大明弘,大明弘治年製,True,68.6309,ocr_fuzzy
å¤§æ˜Žå˜‰é–å¹´è£½_942f9209.jpg,大明嘉靖年製,,False,0.2937,best=294;second=293;accepted=False,大明嘉靖年製,True,True,73.5428,大明嘉靖年製,大明嘉靖年製,True,0.0,exact:大明嘉靖年製,大明嘉靖年製,True,73.8365,ocr_fuzzy
å¤§æ˜ŽæˆåŒ–å¹´è£½_ca61bf38.jpg,大明成化年製,,False,0.1741,best=180;second=180;accepted=False,大明成,True,True,68.576,明成;大明;大七;大明成;龙明,大明成化年製,True,0.004,substring:大明成,大明成化年製,True,68.7542,ocr_fuzzy
å¤§æ˜Žè¬æ›†å¹´è£½_79cdb9a5.jpg,大明萬曆年製,,False,0.2854,best=298;second=279;accepted=False,,False,True,59.2762,年;年;年,贊普鐘年製,False,0.026,fuzzy_tiedecision:年,贊普鐘年製,False,59.5876,ocr_fuzzy
åº·ç†™å¹´è£½_f3bd3d93.jpg,康熙年製,,False,0.2763,best=292;second=270;accepted=False,康年,False,False,66.747,年康;康年;南江;南,大清康熙年製,True,0.0197,fuzzy_tiedecision:康年,大清康熙年製,True,67.0429,ocr_fuzzy
æ˜Žå‘½å¹´è£½_09cb3712.jpg,明命年製,,False,0.2372,best=215;second=204;accepted=False,年明奖命,False,False,77.6941,年明美命;年明奖命;集命,明命年製,True,0.2438,top1:年明奖命,明命年製,True,78.1751,ocr_fuzzy
