image,relative_path,local_text,local_confidence,local_candidates,local_latency,local_status,local_error,gemini_text,gemini_confidence,gemini_candidates,gemini_latency,gemini_status,gemini_error,gemini_model,system_text,system_confidence,system_aggregated_confidence,system_primary_pipeline,system_valid_pipelines,system_num_valid_pipelines,system_latency,system_status,system_error,system_gemini_model
"ChatGPT Image 20_12_09 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_12_09 12 thg 6, 2026.png",,,,,,,大明嘉靖年製,1.0,大明嘉靖年製,4.5524,success,,gemini-2.5-flash-lite,大明嘉靖年製,0.8,0.8766,text_vote,ocr_llm;ocr_search;vision_gemini;ml_match;text_vote,5,134.735,success,"Đã tìm được link nguồn để đối chiếu, nhưng nguồn web chưa đủ mạnh để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.",
"ChatGPT Image 20_12_25 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_12_25 12 thg 6, 2026.png",,,,,,,大明嘉靖年製,1.0,大明嘉靖年製,4.657,success,,gemini-3.1-flash-lite,大明嘉靖年製,0.8,0.8766,text_vote,ocr_llm;ocr_search;vision_gemini;ml_match;text_vote,5,133.8321,success,"Đã tìm được link nguồn để đối chiếu, nhưng nguồn web chưa đủ mạnh để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.",
"ChatGPT Image 20_12_36 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_12_36 12 thg 6, 2026.png",,,,,,,大明成化年製,1.0,大明成化年製,4.2862,success,,gemini-3.1-flash-lite,大明成化年製,0.8,0.8766,text_vote,ocr_llm;ocr_search;vision_gemini;ml_match;text_vote,5,205.5629,success,"Đã tìm được link nguồn để đối chiếu, nhưng nguồn web chưa đủ mạnh để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.",
"ChatGPT Image 20_14_12 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_14_12 12 thg 6, 2026.png",,,,,,,大清乾隆年製,1.0,大清乾隆年製,5.1685,success,,gemini-2.5-flash-lite,大明隆慶年製,0.8,0.8766,text_vote,ocr_llm;ocr_search;vision_gemini;ml_match;text_vote,5,166.0812,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,
"ChatGPT Image 20_14_30 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_14_30 12 thg 6, 2026.png",,,,,,,大明萬曆年曆年製,0.95,大明萬曆年曆年製,4.7217,success,,gemini-3.1-flash-lite,大明萬曆年製,0.88,0.8473,vision_gemini,ocr_llm;vision_gemini;vision_opencode,3,183.5057,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,
"ChatGPT Image 20_14_44 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_14_44 12 thg 6, 2026.png",,,,,,,大明泰昌年製,1.0,大明泰昌年製,4.607,success,,gemini-3.1-flash-lite,大明泰昌年製,0.874,0.91,vision_gemini,ocr_llm;vision_gemini,2,212.2327,success,,
"ChatGPT Image 20_16_15 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_16_15 12 thg 6, 2026.png",,,,,,,大明年製,1.0,大明年製,6.985,success,,gemini-2.5-flash-lite,大明禎年製,0.7,0.8457,vision_gemini,ocr_llm;ocr_search;vision_gemini;vision_opencode,4,169.1897,success,"Da doc duoc chu tren anh bang OCR/Vision voting, nhung khong tim thay ban ghi DB hoac nguon web du ro. Khong hien thong tin chi tiet de tranh suy dien sai.",
"ChatGPT Image 20_16_37 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_16_37 12 thg 6, 2026.png",,,,,,,大清順治年製,1.0,大清順治年製,4.4113,success,,gemini-3.1-flash-lite,大清順治年製,0.88,0.8923,text_vote,ocr_llm;ocr_search;vision_gemini;vision_opencode;text_vote,5,181.5467,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,
"ChatGPT Image 20_16_49 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_16_49 12 thg 6, 2026.png",,,,,,,大明天啟年製,1.0,大明天啟年製,4.8672,success,,gemini-3.1-flash-lite,大明年製,0.94,0.92,ocr_llm,ocr_llm;ocr_search,2,237.7828,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,
"ChatGPT Image 20_17_49 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_17_49 12 thg 6, 2026.png",,,,,,,大清康熙年製,1.0,大清康熙年製,5.9548,success,,gemini-2.5-flash-lite,大清康熙年製,0.95,0.9017,ml_match,ocr_llm;ocr_search;vision_opencode;ml_match,4,141.33,success,"Đã tìm được link nguồn để đối chiếu, nhưng nguồn web chưa đủ mạnh để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.",
"ChatGPT Image 20_18_11 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_18_11 12 thg 6, 2026.png",,,,,,,大清雍正年製,1.0,大清雍正年製,6.8813,success,,gemini-3.1-flash-lite,大清,0.62,0.3,ocr_llm,,1,209.3418,success,"AI đọc ảnh trực tiếp ra ứng viên này, nhưng chưa đủ nguồn web độc lập để xác nhận chắc chắn.",
"ChatGPT Image 20_18_33 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_18_33 12 thg 6, 2026.png",,,,,,,大清乾隆年製,1.0,大清乾隆年製,4.628,success,,gemini-3.1-flash-lite,大清乾隆年製,0.95,0.9117,ml_match,ocr_llm;ocr_search;vision_opencode;ml_match,4,128.6101,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,
"ChatGPT Image 20_18_50 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_18_50 12 thg 6, 2026.png",,,,,,,大清光緒年製,1.0,大清光緒年製,5.1656,success,,gemini-2.5-flash-lite,大清道光年製,0.94,0.9275,ocr_llm,ocr_llm;ocr_search;ml_match,3,141.3698,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,
"ChatGPT Image 20_19_10 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_19_10 12 thg 6, 2026.png",,,,,,,大清嘉慶年製,1.0,大清嘉慶年製,16.8989,success,,gemini-3.1-flash-lite,大清嘉愛年製,0.3,0.3,ocr_llm,,1,223.4109,success,Chưa tìm được nguồn web đủ rõ để xác nhận chắc chắn. Kết quả hiện tại chỉ là dự đoán từ OCR/ML/DB.,
"ChatGPT Image 20_19_26 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_19_26 12 thg 6, 2026.png",,,,,,,大清咸豐年製,1.0,大清咸豐年製,5.8742,success,,gemini-3.1-flash-lite,咸清年製,0.94,0.9275,ocr_llm,ocr_llm;ocr_search;ml_match,3,176.0561,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,
"ChatGPT Image 20_19_44 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_19_44 12 thg 6, 2026.png",,,,,,,大清同治年製,1.0,大清同治年製,6.2193,success,,gemini-2.5-flash-lite,大清同治年製,0.94,0.9275,ocr_llm,ocr_llm;ocr_search;ml_match,3,123.9097,success,"Đã tìm được link nguồn để đối chiếu, nhưng nguồn web chưa đủ mạnh để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.",
"ChatGPT Image 20_20_04 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_20_04 12 thg 6, 2026.png",,,,,,,大清宣統年製,1.0,大清宣統年製,5.0805,success,,gemini-3.1-flash-lite,大清宣統年製,0.88,0.8439,text_vote,vision_gemini;vision_opencode;ml_match;text_vote,4,176.115,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,gemini-3.1-flash-lite
"ChatGPT Image 20_20_32 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_20_32 12 thg 6, 2026.png",,,,,,,大清光緒年製,1.0,大清光緒年製,4.0317,success,,gemini-3.1-flash-lite,大清光緒年製,0.8,0.8766,text_vote,ocr_llm;ocr_search;vision_gemini;ml_match;text_vote,5,153.3265,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,gemini-3.1-flash-lite
"ChatGPT Image 20_21_40 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_21_40 12 thg 6, 2026.png",,,,,,,乾隆製,1.0,乾隆製,5.9512,success,,gemini-2.5-flash-lite,乾德年製,0.95,0.9117,ml_match,ocr_llm;ocr_search;vision_gemini;ml_match,4,142.6051,success,Nguồn web tìm được chưa khớp với kết quả OCR/DB/ML đang có độ tin cậy cao. Giữ kết quả nội bộ và chỉ dùng link nguồn để đối chiếu thêm.,gemini-2.5-flash-lite
"ChatGPT Image 20_22_00 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_22_00 12 thg 6, 2026.png",,,,,,,開寶年製,0.95,開寶年製,4.6402,success,,gemini-3.1-flash-lite,開寶年製寶製,0.7,0.7988,vision_gemini,ocr_llm;ocr_search;vision_gemini;vision_opencode;ml_match,5,197.5598,success,"Da doc duoc chu tren anh bang OCR/Vision voting, nhung khong tim thay ban ghi DB hoac nguon web du ro. Khong hien thong tin chi tiet de tranh suy dien sai.",gemini-3.1-flash-lite
"ChatGPT Image 20_22_28 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_22_28 12 thg 6, 2026.png",,,,,,,太平興國年製,1.0,太平興國年製,5.3519,success,,gemini-3.1-flash-lite,太平興國年製,0.8,0.8772,text_vote,ocr_llm;ocr_search;vision_gemini;vision_opencode;ml_match;text_vote,6,158.2683,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,gemini-3.1-flash-lite
"ChatGPT Image 20_23_23 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_23_23 12 thg 6, 2026.png",,,,,,,瑞祺年製,0.9,瑞祺年製,5.8271,success,,gemini-2.5-flash-lite,瑞祺年製,0.7,0.7588,vision_gemini,ocr_llm;ocr_search;vision_gemini;ml_match,5,133.0251,success,"Da doc duoc chu tren anh bang OCR/Vision voting, nhung khong tim thay ban ghi DB hoac nguon web du ro. Khong hien thong tin chi tiet de tranh suy dien sai.",gemini-2.5-flash-lite
"ChatGPT Image 20_23_43 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_23_43 12 thg 6, 2026.png",,,,,,,建隆年製,1.0,建隆年製,5.0064,success,,gemini-3.1-flash-lite,建隆年製,0.93,0.9105,text_vote,ocr_llm;ocr_search;vision_gemini;vision_opencode;ml_match;text_vote,6,178.7657,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,gemini-3.1-flash-lite
"ChatGPT Image 20_24_03 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_24_03 12 thg 6, 2026.png",,,,,,,至道年製,1.0,至道年製,15.0472,success,,gemini-3.1-flash-lite,至道年製,0.8,0.8772,text_vote,ocr_llm;ocr_search;vision_gemini;vision_opencode;ml_match;text_vote,6,3239.7845,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,gemini-3.1-flash-lite
"ChatGPT Image 20_24_20 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_24_20 12 thg 6, 2026.png",,,,,,,淳化年製,1.0,淳化年製,6.9503,success,,gemini-2.5-flash-lite,淳化年製,0.8,0.8766,text_vote,ocr_llm;ocr_search;vision_gemini;ml_match;text_vote,5,242.3799,success,Nguồn web tìm được chưa khớp với kết quả OCR/DB/ML đang có độ tin cậy cao. Giữ kết quả nội bộ và chỉ dùng link nguồn để đối chiếu thêm.,gemini-2.5-flash-lite
"ChatGPT Image 20_25_29 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_25_29 12 thg 6, 2026.png",,,,,,,景德年製,1.0,景德年製,4.2673,success,,gemini-3.1-flash-lite,景德年製,0.8,0.8772,text_vote,ocr_llm;ocr_search;vision_gemini;vision_opencode;ml_match;text_vote,6,190.8083,success,"Đã tìm được link nguồn để đối chiếu, nhưng nguồn web chưa đủ mạnh để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.",gemini-3.1-flash-lite
"ChatGPT Image 20_26_02 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_26_02 12 thg 6, 2026.png",,,,,,,天禧年製,1.0,天禧年製,4.2252,success,,gemini-3.1-flash-lite,天禧年製,0.8,0.8772,text_vote,ocr_llm;ocr_search;vision_gemini;vision_opencode;ml_match;text_vote,6,286.4859,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,gemini-3.1-flash-lite
"ChatGPT Image 20_27_09 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_27_09 12 thg 6, 2026.png",,,,,,,咸平年製,0.95,咸平年製,6.0896,success,,gemini-3.1-flash-lite,平歲製年,0.7,0.9117,vision_gemini,ocr_llm;ocr_search;vision_gemini;ml_match,4,167.6118,success,"Da doc duoc chu tren anh bang OCR/Vision voting, nhung khong tim thay ban ghi DB hoac nguon web du ro. Khong hien thong tin chi tiet de tranh suy dien sai.",gemini-2.5-flash-lite
"ChatGPT Image 20_27_38 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_27_38 12 thg 6, 2026.png",,,,,,,大中祥符年製,1.0,大中祥符年製,12.1561,success,,gemini-3.1-flash-lite,大中祥符年製,0.8,0.8766,text_vote,ocr_llm;ocr_search;vision_gemini;ml_match;text_vote,5,171.9855,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,gemini-3.1-flash-lite
"ChatGPT Image 20_27_53 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_27_53 12 thg 6, 2026.png",,,,,,,明道年製,1.0,明道年製,17.6158,success,,gemini-3.1-flash-lite,明道年製,0.93,0.9105,text_vote,ocr_llm;ocr_search;vision_gemini;vision_opencode;ml_match;text_vote,6,207.3431,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,gemini-3.1-flash-lite
"ChatGPT Image 20_28_08 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_28_08 12 thg 6, 2026.png",,,,,,,乾興年製,1.0,乾興年製,4.0169,success,,gemini-3.1-flash-lite,乾隆年製,0.88,0.9117,vision_gemini,ocr_llm;ocr_search;vision_gemini;ml_match,4,164.2644,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,gemini-2.5-flash-lite
"ChatGPT Image 20_28_47 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_28_47 12 thg 6, 2026.png",,,,,,,景祐年製,0.95,景祐年製,4.2369,success,,gemini-3.1-flash-lite,景祐年製,0.8,0.8344,text_vote,ocr_llm;ocr_search;vision_gemini;vision_opencode;ml_match;text_vote,6,218.2784,success,"Đã tìm được link nguồn để đối chiếu, nhưng nguồn web chưa đủ mạnh để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.",gemini-3.1-flash-lite
"ChatGPT Image 20_30_03 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_30_03 12 thg 6, 2026.png",,,,,,,慶曆年製,1.0,慶曆年製,4.322,success,,gemini-3.1-flash-lite,慶曆年製,0.88,0.7983,vision_gemini,ocr_llm;ocr_search;vision_gemini;ml_match,4,249.8522,success,Nguồn web tìm được chưa khớp với kết quả OCR/DB/ML đang có độ tin cậy cao. Giữ kết quả nội bộ và chỉ dùng link nguồn để đối chiếu thêm.,gemini-3.1-flash-lite
"ChatGPT Image 20_30_19 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_30_19 12 thg 6, 2026.png",,,,,,,景祐年製,1.0,景祐年製,4.4866,success,,gemini-2.5-flash-lite,景祐年製,0.8,0.853,text_vote,ocr_llm;ocr_search;vision_gemini;vision_opencode;ml_match;text_vote,6,227.8119,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,gemini-2.5-flash-lite
"ChatGPT Image 20_30_36 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_30_36 12 thg 6, 2026.png",,,,,,,天聖年製,1.0,天聖年製,5.042,success,,gemini-3.1-flash-lite,天聖年製,0.8,0.8766,text_vote,ocr_llm;ocr_search;vision_gemini;ml_match;text_vote,5,218.7291,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,gemini-3.1-flash-lite
"ChatGPT Image 20_30_48 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_30_48 12 thg 6, 2026.png",,,,,,,寶元年製,1.0,寶元年製,4.6976,success,,gemini-3.1-flash-lite,寶元年製,0.8,0.8766,text_vote,ocr_llm;ocr_search;vision_gemini;ml_match;text_vote,5,207.2757,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,gemini-3.1-flash-lite
"ChatGPT Image 20_30_59 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_30_59 12 thg 6, 2026.png",,,,,,,康定年製,0.95,康定年製,21.6104,success,,gemini-3.1-flash-lite,康定年製,0.8,0.8772,text_vote,ocr_llm;ocr_search;vision_gemini;vision_opencode;ml_match;text_vote,6,198.9648,success,"Đã tìm được link nguồn để đối chiếu, nhưng nguồn web chưa đủ mạnh để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.",gemini-2.5-flash-lite
"ChatGPT Image 20_31_26 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_31_26 12 thg 6, 2026.png",,,,,,,慶曆年製,1.0,慶曆年製,6.7893,success,,gemini-3.1-flash-lite,慶曆年製漢,0.7,0.8188,vision_gemini,ocr_llm;ocr_search;vision_gemini;vision_opencode;ml_match,5,161.8053,success,"Da doc duoc chu tren anh bang OCR/Vision voting, nhung khong tim thay ban ghi DB hoac nguon web du ro. Khong hien thong tin chi tiet de tranh suy dien sai.",gemini-3.1-flash-lite
"ChatGPT Image 20_32_03 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_32_03 12 thg 6, 2026.png",,,,,,,元貞年年製,0.9,元貞年年製,7.6699,success,,gemini-3.1-flash-lite,元貞年年製,0.7,0.8933,vision_gemini,vision_gemini;ml_match,2,229.838,success,"Da doc duoc chu tren anh bang OCR/Vision voting, nhung khong tim thay ban ghi DB hoac nguon web du ro. Khong hien thong tin chi tiet de tranh suy dien sai.",gemini-3.1-flash-lite
"ChatGPT Image 20_32_18 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_32_18 12 thg 6, 2026.png",,,,,,,大德年製,1.0,大德年製,8.9678,success,,gemini-3.1-flash-lite,大德製年,0.7,0.8338,vision_gemini,ocr_llm;ocr_search;vision_gemini;vision_opencode;ml_match,5,256.4175,success,"Da doc duoc chu tren anh bang OCR/Vision voting, nhung khong tim thay ban ghi DB hoac nguon web du ro. Khong hien thong tin chi tiet de tranh suy dien sai.",gemini-2.5-flash-lite
"ChatGPT Image 20_32_35 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_32_35 12 thg 6, 2026.png",,,,,,,皇慶年製,1.0,皇慶年製,5.5337,success,,gemini-3.1-flash-lite,皇慶年製,0.93,0.9105,text_vote,ocr_llm;ocr_search;vision_gemini;vision_opencode;ml_match;text_vote,6,220.5653,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,gemini-3.1-flash-lite
"ChatGPT Image 20_33_01 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_33_01 12 thg 6, 2026.png",,,,,,,延祐年製,1.0,延祐年製,5.2372,success,,gemini-3.1-flash-lite,延祐年製,0.8,0.8772,text_vote,ocr_llm;ocr_search;vision_gemini;vision_opencode;ml_match;text_vote,6,261.8363,success,Chưa tìm được link nguồn web đủ rõ để xác nhận độc lập. Giữ kết quả OCR/DB/ML vì các tầng nội bộ đang đồng thuận.,gemini-3.1-flash-lite
"ChatGPT Image 20_33_20 12 thg 6, 2026.png","ảnh thực nghiệm\ChatGPT Image 20_33_20 12 thg 6, 2026.png",,,,,,,至大年製,1.0,至大年製,4.1108,success,,gemini-3.1-flash-lite,至大年製,0.94,0.9275,ocr_llm,ocr_llm;ocr_search;ml_match,3,441.4236,success,Nguồn web tìm được chưa khớp với kết quả OCR/DB/ML đang có độ tin cậy cao. Giữ kết quả nội bộ và chỉ dùng link nguồn để đối chiếu thêm.,gemini-2.5-flash-lite
